,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
57,@BBC,Sun Sep 23 11:02:02 +0000 2018,"Meet Ross. He's swimming the entire coast of Britain and has faced wetsuit burns, ""salt tongue"" and jellyfish. 😬🌊

https://t.co/pj8THPs7g8",0.0,0.0,1.0,0.0,58
58,@BBC,Sun Sep 23 10:04:02 +0000 2018,"What's the most dangerous job in the world? #QI 🔥✂️😬

https://t.co/hQ7vwFLc1A",-0.5256,0.0,0.747,0.253,59
59,@BBC,Sun Sep 23 09:03:05 +0000 2018,"*Googles how to become a special effects artist...*

😲🎬 Meet the team behind every gripping action sequence in… https://t.co/sTE4R5sVJE",0.4019,0.137,0.863,0.0,60
60,@BBC,Sun Sep 23 08:03:04 +0000 2018,"A lot has changed in 20 years, but do you remember what life was like in 1998? 🤔

Take the twenty years of change c… https://t.co/AP2Lr1Jeq1",0.5023,0.124,0.876,0.0,61
61,@BBC,Sun Sep 23 07:31:05 +0000 2018,"A giant 300m-long spiderweb has appeared in Greece. The phenomenon is caused by Tetragnatha spiders, which can buil… https://t.co/WReys8HSJV",0.0,0.0,1.0,0.0,62
62,@BBC,Sun Sep 23 07:03:01 +0000 2018,"It's been just over a year since @Harry_Styles made his Live Lounge debut. 💕

His cover of Fleetwood Mac's 'The Cha… https://t.co/ZtNRkwd9bs",0.0,0.0,1.0,0.0,63
63,@BBC,Sat Sep 22 19:04:06 +0000 2018,"Seeking a missing man, detective Jay Swan finds an outback community fractured by secrets. 

#MysteryRoad | 9pm |… https://t.co/7ogs71Algw",-0.296,0.0,0.879,0.121,64
64,@BBC,Sat Sep 22 18:06:53 +0000 2018,RT @bbcthree: Me walking in on the drama I've caused just after I've caused it #Strictly https://t.co/VlbewRmJt8,0.0,0.0,1.0,0.0,65
65,@BBC,Sat Sep 22 18:06:33 +0000 2018,"RT @BBCiPlayer: Happy Birthday, @billiepiper! 🎂 🎈
Here's a throwback to her emotional goodbye in Doctor Who. https://t.co/Mb9fPYDiyH",0.68,0.301,0.699,0.0,66
66,@BBC,Sat Sep 22 17:03:07 +0000 2018,Jack wanted to do something different to celebrate turning 106... so he became the oldest person ever to have zip-l… https://t.co/WVOmVlpIZz,0.5719,0.156,0.844,0.0,67
67,@BBC,Sat Sep 22 16:14:07 +0000 2018,"Get ready to start dancing! ✨💃🕺

This year's @BBCStrictly celebrities have had two weeks to rehearse their first ro… https://t.co/ADIc1vi0we",0.4199,0.128,0.872,0.0,68
68,@BBC,Sat Sep 22 15:04:05 +0000 2018,"This is the first time this baby rhino has been outside! 😍🦏 #WorldRhinoDay

https://t.co/OJdiiKiyIK",0.0,0.0,1.0,0.0,69
69,@BBC,Sat Sep 22 14:03:05 +0000 2018,Pictures of sea life tangled in plastic waste mean the pressure is on to do more to help. But what can be recycled… https://t.co/RnQPBTRO44,-0.2551,0.103,0.725,0.173,70
70,@BBC,Sat Sep 22 13:30:22 +0000 2018,RT @BBCBreaking: Chas Hodges - one half of the musical duo Chas &amp; Dave - has died https://t.co/sLok83mgNk,-0.5574,0.0,0.806,0.194,71
71,@BBC,Sat Sep 22 13:30:08 +0000 2018,"RT @BBC6Music: 📺 What’s the best thing you’ve watched on the iPlayer lately?
1) #KillingEve @bbcthree
2) #CanYouFeelIt @BBCFOUR
3) #TheBody…",0.6369,0.181,0.819,0.0,72
72,@BBC,Sat Sep 22 13:04:09 +0000 2018,"RT @bbcstrictly: It's getting real now. #Strictly Come Dancing, LIVE tonight 6.15pm @BBCOne. RT if you'll be watching! 🎉 https://t.co/uIRTh…",0.0,0.0,1.0,0.0,73
73,@BBC,Sat Sep 22 13:01:03 +0000 2018,Amazing! 💧🍬👵 Lewis has invented jelly sweets filled with water to encourage his grandma with dementia to stay hydra… https://t.co/BAXUAFZYLQ,0.8908,0.384,0.616,0.0,74
74,@BBC,Sat Sep 22 11:04:03 +0000 2018,"The official trailer is here! 

""I’m the Doctor, when people need help, I never refuse."" #DoctorWho

https://t.co/0fLnk99haj",0.4574,0.166,0.834,0.0,75
75,@BBC,Sat Sep 22 10:04:05 +0000 2018,'I've had so much support from mums who thought that they couldn't do anything for themselves straight after they h… https://t.co/iKgJY3L64W,0.5965,0.204,0.796,0.0,76
76,@BBC,Sat Sep 22 09:03:08 +0000 2018,"Do you have any pictures of your family at Stonehenge? 

📷 👨‍👩‍👦‍👦 @EnglishHeritage needs your help! 

https://t.co/MxpcFHCYlq",0.4574,0.166,0.834,0.0,77
77,@BBC,Sat Sep 22 08:01:06 +0000 2018,"Oops! 🤦‍♀️✈️

An airline has had to send a plane back to the paint shop after the company's name was spelled incorr… https://t.co/PtaEH3CPXf",0.0,0.0,1.0,0.0,78
78,@BBC,Sat Sep 22 07:31:05 +0000 2018,"Many yoghurts are full of sugar and the public should not be lulled into thinking they are eating healthy products,… https://t.co/RJysRsxaZD",0.4019,0.119,0.881,0.0,79
79,@BBC,Sat Sep 22 07:02:05 +0000 2018,"The black-footed cat is the deadliest (but cutest?!) wild cat in the world. 😻 #BigCats 

https://t.co/FjFZDR7bZ8",0.0,0.0,1.0,0.0,80
80,@BBC,Fri Sep 21 19:10:09 +0000 2018,"RT @BBCRadio1PR: Mum always knows best 👼 @RayBLK_ reveals who inspires her as she heads out on the #1XtraLive Inspire ME tour

#inspireme h…",0.8957,0.351,0.649,0.0,81
81,@BBC,Fri Sep 21 18:03:06 +0000 2018,"""Everybody will see this and think that I'm a trillionaire!""

After students gave their university cleaner £1,500 s… https://t.co/n2N1cHJky0",0.2481,0.105,0.895,0.0,82
